    n;             min;             max;             avg;             mea;             bpc;             dev;
  367;     1271970.000;     1420684.000;     1346327.000;     1295798.000;           0.000;           3.334;
  368;     2776186.000;     2940732.000;     2858459.000;     2799549.900;           0.000;           1.628;
  369;     1286354.000;     1738398.000;     1512376.000;     1337249.700;           0.000;           8.683;
  370;     1354344.000;     1430690.000;     1392517.000;     1363028.100;           0.000;           1.278;
  371;     1299504.000;     1436142.000;     1367823.000;     1315388.800;           0.000;           2.539;
  372;     1497780.000;     1589638.000;     1543709.000;     1515937.700;           0.000;           1.331;
  373;     1316586.000;     1454064.000;     1385325.000;     1330610.000;           0.000;           2.630;
  374;     1336400.000;     1349240.000;     1342820.000;     1339153.000;           0.000;           0.271;
  375;     1329176.000;     1438584.000;     1383880.000;     1336934.000;           0.000;           1.804;
  376;     1654842.000;     1672416.000;     1663629.000;     1659660.400;           0.000;           0.289;
  377;     1343102.000;     1425142.000;     1384122.000;     1350903.100;           0.000;           1.325;
  378;     1390690.000;     1484780.000;     1437735.000;     1399263.600;           0.000;           1.478;
  379;     1360782.000;     1391876.000;     1376329.000;     1365125.900;           0.000;           0.527;
  380;     1625060.000;     1657552.000;     1641306.000;     1630970.700;           0.000;           0.528;
  381;     1370518.000;     1463118.000;     1416818.000;     1378398.700;           0.000;           1.466;
  382;     1396166.000;     1441374.000;     1418770.000;     1405305.000;           0.000;           0.918;
  383;     1383580.000;     1474078.000;     1428829.000;     1391818.000;           0.000;           1.426;
  384;     5344610.000;     5532614.000;     5438612.000;     5375814.100;           0.000;           0.836;
  385;     1398422.000;     1672190.000;     1535306.000;     1423008.600;           0.000;           4.168;
  386;     1421672.000;     1509030.000;     1465351.000;     1434418.000;           0.000;           1.626;
  387;     1426398.000;     1431628.000;     1429013.000;     1428617.600;           0.000;           0.114;
  388;     1668912.000;     1800944.000;     1734928.000;     1694861.700;           0.000;           1.524;
  389;     1430980.000;     2151524.000;     1791252.000;     1496724.500;           0.000;          11.071;
  390;     1484788.000;     2410984.000;     1947886.000;     1554799.400;           0.000;          13.353;
  391;     1447046.000;     2336342.000;     1891694.000;     1508689.000;           0.000;          13.136;
  392;     1790662.000;     1861706.000;     1826184.000;     1797691.900;           0.000;           0.867;
  393;     1460704.000;     1624126.000;     1542415.000;     1482832.900;           0.000;           2.854;
  394;     2082096.000;     2492154.000;     2287125.000;     2121005.800;           0.000;           4.622;
  395;     1672836.000;     2048578.000;     1860707.000;     1963192.700;           0.000;           6.023;
  396;     1727932.000;     2826038.000;     2276985.000;     1802219.400;           0.000;          13.499;
  397;     1489282.000;     1608124.000;     1548703.000;     1502478.200;           0.000;           2.081;
  398;     1713408.000;     1741572.000;     1727490.000;     1719411.100;           0.000;           0.452;
  399;     1509992.000;     1530620.000;     1520306.000;     1516134.200;           0.000;           0.354;
  400;     3283310.000;     3321208.000;     3302259.000;     3292067.400;           0.000;           0.325;
  401;     1523680.000;     1632996.000;     1578338.000;     1532733.000;           0.000;           1.559;
  402;     1578762.000;     1630670.000;     1604716.000;     1590166.300;           0.000;           0.791;
  403;     1538054.000;     1647864.000;     1592959.000;     1563724.800;           0.000;           2.451;
  404;     1804804.000;     1935476.000;     1870140.000;     1819907.900;           0.000;           1.673;
  405;     1547734.000;     2169596.000;     1858665.000;     1588111.300;           0.000;           8.700;
  406;     1595596.000;     1837748.000;     1716672.000;     1637664.600;           0.000;           3.739;
  407;     2028486.000;     2129968.000;     2079227.000;     2046172.600;           0.000;           1.550;
  408;     1957074.000;     2019576.000;     1988325.000;     1966692.500;           0.000;           0.677;
  409;     1770604.000;     1925986.000;     1848295.000;     1783060.700;           0.000;           1.918;
  410;     2590058.000;     2662982.000;     2626520.000;     2599019.500;           0.000;           0.601;
  411;     1619940.000;     1641514.000;     1630727.000;     1625062.000;           0.000;           0.340;
  412;     1901920.000;     1969636.000;     1935778.000;     1909443.300;           0.000;           0.774;
  413;     1648788.000;     1727258.000;     1688023.000;     1658916.900;           0.000;           1.086;
  414;     1834918.000;     2293288.000;     2064103.000;     1887171.100;           0.000;           7.240;
  415;     1660094.000;     1762676.000;     1711385.000;     1674977.400;           0.000;           1.522;
  416;     3810760.000;     3860094.000;     3835427.000;     3823565.200;           0.000;           0.351;
  417;     1678730.000;     1696770.000;     1687750.000;     1684268.300;           0.000;           0.293;
  418;     1842398.000;     1864216.000;     1853307.000;     1848938.900;           0.000;           0.337;
  419;     3151448.000;     3167078.000;     3159263.000;     3156492.500;           0.000;           0.140;
  420;     1982508.000;     2945716.000;     2464112.000;     2044087.200;           0.000;          10.447;
  421;     1981824.000;     2317088.000;     2149456.000;     2003926.700;           0.000;           3.693;
  422;     1882684.000;     1953714.000;     1918199.000;     1891871.000;           0.000;           0.815;
  423;     2262276.000;     2422798.000;     2342537.000;     2275553.800;           0.000;           1.542;
  424;     2096892.000;     2570838.000;     2333865.000;     2123855.800;           0.000;           4.958;
  425;     1730648.000;     1894482.000;     1812565.000;     1757753.900;           0.000;           2.889;
  426;     2009814.000;     2025978.000;     2017896.000;     2014337.100;           0.000;           0.162;
  427;     2837900.000;     2883164.000;     2860532.000;     2850207.600;           0.000;           0.463;
  428;     2213740.000;     2311384.000;     2262562.000;     2225051.400;           0.000;           1.022;
  429;     2044460.000;     2428438.000;     2236449.000;     2330731.900;           0.000;           6.541;
  430;     1864810.000;     1970818.000;     1917814.000;     1876388.500;           0.000;           1.223;
  431;     1908972.000;     1987532.000;     1948252.000;     1919005.200;           0.000;           0.965;
  432;     3838096.000;     3879086.000;     3858591.000;     3846761.700;           0.000;           0.291;
  433;     2006938.000;     2046858.000;     2026898.000;     2013363.800;           0.000;           0.440;
  434;     1994852.000;     2100102.000;     2047477.000;     2030778.600;           0.000;           2.105;
  435;     1857700.000;     1947790.000;     1902745.000;     1876113.300;           0.000;           1.309;
  436;     2140862.000;     2247328.000;     2194095.000;     2152793.400;           0.000;           1.083;
  437;     1990250.000;     2109774.000;     2050012.000;     2000645.000;           0.000;           1.298;
  438;     1921276.000;     1994542.000;     1957909.000;     1932368.000;           0.000;           0.827;
  439;     3633940.000;     3669228.000;     3651584.000;     3644445.300;           0.000;           0.285;
  440;     2279410.000;     2307574.000;     2293492.000;     2285254.700;           0.000;           0.353;
  441;     1913700.000;     2780610.000;     2347155.000;     2012447.900;           0.000;          11.333;
  442;     2185076.000;     2460670.000;     2322873.000;     2224938.500;           0.000;           3.873;
  443;     1917454.000;     2023234.000;     1970344.000;     1932539.700;           0.000;           1.192;
  444;     2260802.000;     2610740.000;     2435771.000;     2478379.200;           0.000;           4.341;
  445;     1893546.000;     1968796.000;     1931171.000;     1904806.000;           0.000;           0.854;
  446;     2594314.000;     2712150.000;     2653232.000;     2611595.700;           0.000;           1.051;
  447;     1884026.000;     1948564.000;     1916295.000;     1893420.000;           0.000;           0.773;
  448;     5237386.000;     5386830.000;     5312108.000;     5264188.500;           0.000;           0.707;
  449;     1906648.000;     3133644.000;     2520146.000;     1997373.100;           0.000;          13.590;
  450;     2315056.000;     2822102.000;     2568579.000;     2607564.200;           0.000;           4.212;
  451;     2035908.000;     2058018.000;     2046963.000;     2043229.000;           0.000;           0.314;
  452;     2669576.000;     2709498.000;     2689537.000;     2678084.900;           0.000;           0.394;
  453;     2771724.000;     2857990.000;     2814857.000;     2782092.000;           0.000;           0.681;
  454;     2014504.000;     2177120.000;     2095812.000;     2032844.000;           0.000;           1.861;
  455;     1957920.000;     1992864.000;     1975392.000;     1963230.600;           0.000;           0.407;
  456;     2461696.000;     2573790.000;     2517743.000;     2473030.600;           0.000;           0.983;
  457;     2370172.000;     2825796.000;     2597984.000;     2408675.200;           0.000;           4.217;
  458;     2336424.000;     2735542.000;     2535983.000;     2367560.000;           0.000;           3.706;
  459;     1988410.000;     2095818.000;     2042114.000;     1996482.400;           0.000;           1.187;
  460;     2461176.000;     2635782.000;     2548479.000;     2485606.200;           0.000;           1.753;
  461;     3453558.000;     4312028.000;     3882793.000;     3513128.300;           0.000;           5.395;
  462;     2098068.000;     2124264.000;     2111166.000;     2107023.300;           0.000;           0.318;
  463;     2612522.000;     2730568.000;     2671545.000;     2630024.100;           0.000;           1.033;
  464;     4466466.000;     5283784.000;     4875125.000;     4596515.000;           0.000;           5.338;
  465;     2501816.000;     2740896.000;     2621356.000;     2649951.900;           0.000;           3.680;
  466;     2838712.000;     2961810.000;     2900261.000;     2856000.500;           0.000;           1.038;
  467;     2530826.000;     2864200.000;     2697513.000;     2811008.800;           0.000;           3.588;
  468;     2463762.000;     2576568.000;     2520165.000;     2534569.600;           0.000;           1.817;
  469;     2418010.000;     3059346.000;     2738678.000;     2913867.000;           0.000;           4.431;
  470;     2509952.000;     2585470.000;     2547711.000;     2545469.800;           0.000;           0.672;
  471;     2094582.000;     2295718.000;     2195150.000;     2117833.900;           0.000;           2.215;
  472;     2741520.000;     3042612.000;     2892066.000;     2792671.100;           0.000;           2.585;
  473;     3253332.000;     3428106.000;     3340719.000;     3272082.900;           0.000;           1.157;
  474;     2429576.000;     2455408.000;     2442492.000;     2439270.900;           0.000;           0.293;
  475;     2989048.000;     3128978.000;     3059013.000;     3012558.300;           0.000;           1.291;
  476;     2787900.000;     2812712.000;     2800306.000;     2795209.500;           0.000;           0.261;
  477;     3011862.000;     3118732.000;     3065297.000;     3031350.300;           0.000;           0.884;
  478;     3741388.000;     4199416.000;     3970402.000;     3805007.900;           0.000;           2.791;
  479;     3443476.000;     3672354.000;     3557915.000;     3487138.500;           0.000;           1.590;
  480;     5079154.000;     5184584.000;     5131869.000;     5094664.200;           0.000;           0.479;
  481;     2940954.000;     3571164.000;     3256059.000;     3293438.900;           0.000;           7.370;
  482;     3734000.000;     3883626.000;     3808813.000;     3782792.200;           0.000;           0.888;
  483;     2649802.000;     2791080.000;     2720441.000;     2666759.300;           0.000;           1.205;
  484;     2699550.000;     3279884.000;     2989717.000;     3031511.400;           0.000;           7.184;
  485;     2221124.000;     2368766.000;     2294945.000;     2248669.400;           0.000;           1.906;
  486;     3421320.000;     3765266.000;     3593293.000;     3464014.900;           0.000;           2.301;
  487;     2423244.000;     2522724.000;     2472984.000;     2443137.800;           0.000;           1.073;
  488;     3420130.000;     3506812.000;     3463471.000;     3441686.500;           0.000;           0.559;
  489;     3672402.000;     3773728.000;     3723065.000;     3688217.600;           0.000;           0.586;
  490;     3486538.000;     3756954.000;     3621746.000;     3558420.400;           0.000;           2.517;
  491;     3376158.000;     3579290.000;     3477724.000;     3396338.100;           0.000;           1.339;
  492;     3607576.000;     4925648.000;     4266612.000;     3742283.000;           0.000;           7.982;
  493;     2328956.000;     2506698.000;     2417827.000;     2355560.400;           0.000;           2.109;
  494;     3568054.000;     3590374.000;     3579214.000;     3578010.800;           0.000;           0.193;
  495;     3942814.000;     4027094.000;     3984954.000;     3966075.100;           0.000;           0.576;
  496;     5064136.000;     5101968.000;     5083052.000;     5073523.200;           0.000;           0.165;
  497;     3097464.000;     4223254.000;     3660359.000;     3713195.000;           0.000;          11.875;
  498;     2953820.000;     3875904.000;     3414862.000;     3426638.300;           0.000;          12.370;
  499;     4098938.000;     4120510.000;     4109724.000;     4109074.500;           0.000;           0.180;
  500;     2881636.000;     4017864.000;     3449750.000;     3159777.400;           0.000;          14.928;
  501;     3933382.000;     4018020.000;     3975701.000;     3951154.600;           0.000;           0.479;
  502;     4208534.000;     4362086.000;     4285310.000;     4238521.000;           0.000;           1.072;
  503;     3875528.000;     4064416.000;     3969972.000;     3903000.500;           0.000;           1.064;
  504;     4190058.000;     4281204.000;     4235631.000;     4207744.800;           0.000;           0.460;
  505;     4388662.000;     4493586.000;     4441124.000;     4407389.900;           0.000;           0.550;
  506;     3953010.000;     4901792.000;     4427401.000;     4045228.800;           0.000;           5.191;
  507;     3851066.000;     3983112.000;     3917089.000;     3873838.000;           0.000;           0.784;
  508;     3564792.000;     6345902.000;     4955347.000;     3774422.200;           0.000;          16.199;
  509;     3815080.000;     4012274.000;     3913677.000;     3883293.200;           0.000;           1.030;
  510;     3811896.000;     3954094.000;     3882995.000;     3847255.400;           0.000;           0.890;
  511;     2556648.000;     2722472.000;     2639560.000;     2574673.800;           0.000;           1.399;
  512;    11162534.000;    12313938.000;    11738236.000;    11460636.800;           0.000;           3.686;
  513;     6904834.000;     8685362.000;     7795098.000;     7472835.300;           0.000;           9.235;
  514;     5695992.000;     6225422.000;     5960707.000;     6098560.700;           0.000;           1.841;
  515;     4753060.000;     4881148.000;     4817104.000;     4787419.900;           0.000;           0.662;
  516;     4374432.000;     5279958.000;     4827195.000;     4489728.300;           0.000;           4.924;
  517;     4075058.000;     5137906.000;     4606482.000;     4411133.100;           0.000;           4.977;
  518;     4385130.000;     4990752.000;     4687941.000;     4449666.700;           0.000;           3.015;
  519;     4396658.000;     5032140.000;     4714399.000;     4501700.800;           0.000;           3.639;
  520;     4882820.000;     5487952.000;     5185386.000;     4965998.900;           0.000;           2.867;
  521;     4955864.000;     5230894.000;     5093379.000;     5005711.500;           0.000;           1.258;
  522;     4765580.000;     4875912.000;     4820746.000;     4787375.400;           0.000;           0.478;
  523;     4366748.000;     4475376.000;     4421062.000;     4391556.000;           0.000;           0.695;
  524;     5071504.000;     5159490.000;     5115497.000;     5095444.800;           0.000;           0.456;
  525;     4964140.000;     5105948.000;     5035044.000;     4999914.200;           0.000;           0.815;
  526;     5197434.000;     6063212.000;     5630323.000;     5293444.500;           0.000;           3.556;
  527;     4491598.000;     5270984.000;     4881291.000;     4582377.700;           0.000;           3.885;
  528;     5786530.000;     5846226.000;     5816378.000;     5806273.800;           0.000;           0.240;
  529;     4528688.000;     4727006.000;     4627847.000;     4572079.300;           0.000;           1.163;
  530;     5327086.000;     5425772.000;     5376429.000;     5350464.900;           0.000;           0.465;
  531;     5595658.000;     5660256.000;     5627957.000;     5614017.900;           0.000;           0.291;
  532;     4162310.000;     5328124.000;     4745217.000;     4947236.200;           0.000;          10.359;
  533;     4147308.000;     5651114.000;     4899211.000;     5190633.400;           0.000;           9.081;
  534;     3944884.000;     5477334.000;     4711109.000;     5041594.800;           0.000;           6.941;
  535;     4672232.000;     4790490.000;     4731361.000;     4699221.100;           0.000;           0.692;
  536;     4138534.000;     5950876.000;     5044705.000;     5338732.000;           0.000;           6.561;
  537;     4376048.000;     6538340.000;     5457194.000;     5579701.300;           0.000;           7.420;
  538;     5399762.000;     5659042.000;     5529402.000;     5455031.100;           0.000;           1.228;
  539;     5643558.000;     5718040.000;     5680799.000;     5671294.400;           0.000;           0.374;
  540;     5530318.000;     5627234.000;     5578776.000;     5559188.100;           0.000;           0.499;
  541;     5642838.000;     5707096.000;     5674967.000;     5672213.200;           0.000;           0.249;
  542;     4742774.000;     4977776.000;     4860275.000;     4869888.600;           0.000;           1.183;
  543;     4451066.000;     5920864.000;     5185965.000;     4555108.900;           0.000;           7.121;
  544;     6733186.000;     6813886.000;     6773536.000;     6755203.100;           0.000;           0.308;
  545;     4147526.000;     4558718.000;     4353122.000;     4386475.400;           0.000;           2.816;
  546;     4854938.000;     5058136.000;     4956537.000;     4943097.700;           0.000;           0.716;
  547;     5685036.000;     6161756.000;     5923396.000;     5763559.200;           0.000;           2.194;
  548;     5789504.000;     5896876.000;     5843190.000;     5815764.000;           0.000;           0.460;
  549;     4460214.000;     5863758.000;     5161986.000;     5360622.200;           0.000;           7.553;
  550;     5351850.000;     6052768.000;     5702309.000;     5843986.000;           0.000;           2.185;
  551;     4812066.000;     5535884.000;     5173975.000;     5267220.900;           0.000;           2.382;
  552;     5777364.000;     5875238.000;     5826301.000;     5810738.600;           0.000;           0.494;
  553;     5957774.000;     6183646.000;     6070710.000;     5999978.100;           0.000;           1.126;
  554;     5871460.000;     6237438.000;     6054449.000;     5930864.000;           0.000;           1.492;
  555;     5894912.000;     5978236.000;     5936574.000;     5917889.000;           0.000;           0.354;
  556;     6060288.000;     6263770.000;     6162029.000;     6098305.300;           0.000;           0.792;
  557;     5633060.000;     6119048.000;     5876054.000;     5709448.500;           0.000;           2.095;
  558;     5879076.000;     6868386.000;     6373731.000;     5975484.700;           0.000;           3.591;
  559;     5915584.000;     6009866.000;     5962725.000;     5945595.300;           0.000;           0.473;
  560;     6534710.000;     7904904.000;     7219807.000;     7170096.400;           0.000;           7.992;
  561;     6006558.000;     6424706.000;     6215632.000;     6090238.000;           0.000;           1.978;
  562;     6271918.000;     6487080.000;     6379499.000;     6315013.000;           0.000;           0.894;
  563;     5261876.000;     5357604.000;     5309740.000;     5281393.300;           0.000;           0.405;
  564;     6294634.000;     6566354.000;     6430494.000;     6371396.300;           0.000;           1.114;
  565;     6350278.000;     6895440.000;     6622859.000;     6459134.800;           0.000;           2.050;
  566;     5315086.000;     6399042.000;     5857064.000;     6191542.800;           0.000;           3.810;
  567;     5297066.000;     6264822.000;     5780944.000;     5574946.100;           0.000;           7.301;
  568;     6243684.000;     7110302.000;     6676993.000;     6374214.600;           0.000;           3.170;
  569;     6242808.000;     7038010.000;     6640409.000;     6390887.200;           0.000;           3.101;
  570;     5309186.000;     6439580.000;     5874383.000;     5520996.300;           0.000;           7.193;
  571;     5224340.000;     5499824.000;     5362082.000;     5266427.200;           0.000;           1.109;
  572;     5600866.000;     6398154.000;     5999510.000;     5950943.400;           0.000;           5.515;
  573;     6509286.000;     6795288.000;     6652287.000;     6571501.400;           0.000;           1.165;
  574;     5631986.000;     6741436.000;     6186711.000;     6187137.300;           0.000;           3.367;
  575;     5659392.000;     6823198.000;     6241295.000;     6204985.800;           0.000;           8.894;
  576;    10473672.000;    10599372.000;    10536522.000;    10507532.600;           0.000;           0.338;
  577;     5729604.000;     6833122.000;     6281363.000;     6627068.200;           0.000;           5.052;
  578;     6204002.000;     6463292.000;     6333647.000;     6255407.500;           0.000;           1.163;
  579;     6201622.000;     6913958.000;     6557790.000;     6451170.800;           0.000;           4.117;
  580;     6475026.000;     6568258.000;     6521642.000;     6506067.300;           0.000;           0.390;
  581;     5591406.000;     6710650.000;     6151028.000;     6399965.000;           0.000;           7.285;
  582;     5844018.000;     6660884.000;     6252451.000;     6033574.200;           0.000;           5.118;
  583;     6569992.000;     6924614.000;     6747303.000;     6615227.200;           0.000;           1.180;
  584;     6654028.000;     6737520.000;     6695774.000;     6669230.200;           0.000;           0.258;
  585;     4436180.000;     4784970.000;     4610575.000;     4483924.700;           0.000;           1.791;
  586;     6692334.000;     6999482.000;     6845908.000;     6742788.000;           0.000;           1.043;
  587;     6675144.000;     7469198.000;     7072171.000;     6758283.200;           0.000;           2.530;
  588;     6815496.000;     6934018.000;     6874757.000;     6841707.300;           0.000;           0.407;
  589;     6862498.000;     7048252.000;     6955375.000;     6918127.200;           0.000;           0.828;
  590;     6977692.000;     7818276.000;     7397984.000;     7073131.400;           0.000;           2.603;
  591;     6937616.000;     7056480.000;     6997048.000;     6974868.700;           0.000;           0.542;
  592;     7398558.000;     7597056.000;     7497807.000;     7430150.200;           0.000;           0.631;
  593;     6380336.000;     7268678.000;     6824507.000;     7058484.800;           0.000;           3.415;
  594;     6313660.000;     7145782.000;     6729721.000;     6889639.000;           0.000;           4.894;
  595;     6223848.000;     6789082.000;     6506465.000;     6302771.800;           0.000;           2.115;
  596;     7149426.000;     7418130.000;     7283778.000;     7209065.300;           0.000;           0.908;
  597;     6206766.000;     6358740.000;     6282753.000;     6241420.500;           0.000;           0.585;
  598;     7002560.000;     7112262.000;     7057411.000;     7032446.500;           0.000;           0.439;
  599;     6999370.000;     7420598.000;     7209984.000;     7054058.900;           0.000;           1.323;
  600;     7042044.000;     7949354.000;     7495699.000;     7172490.600;           0.000;           2.881;
  601;     5611566.000;     6474914.000;     6043240.000;     5776711.200;           0.000;           4.030;
  602;     7136724.000;     7938532.000;     7537628.000;     7359222.800;           0.000;           3.226;
  603;     6787716.000;     6972230.000;     6879973.000;     6831194.600;           0.000;           0.613;
  604;     7302498.000;     7422814.000;     7362656.000;     7330902.100;           0.000;           0.405;
  605;     5350100.000;     5977544.000;     5663822.000;     5461765.700;           0.000;           2.657;
  606;     7345478.000;     7891316.000;     7618397.000;     7534518.400;           0.000;           1.844;
  607;     6677034.000;     7468784.000;     7072909.000;     6882865.900;           0.000;           4.754;
  608;     8790644.000;     8937522.000;     8864083.000;     8832677.100;           0.000;           0.460;
  609;     7487036.000;     7783250.000;     7635143.000;     7538861.100;           0.000;           0.903;
  610;     7536476.000;     7675172.000;     7605824.000;     7567017.100;           0.000;           0.532;
  611;     6698684.000;     7770020.000;     7234352.000;     7076762.200;           0.000;           5.876;
  612;     7006898.000;     8481510.000;     7744204.000;     7440808.000;           0.000;           5.091;
  613;     6838756.000;     7604014.000;     7221385.000;     7459268.300;           0.000;           2.025;
  614;     6710424.000;     6867554.000;     6788989.000;     6751497.100;           0.000;           0.689;
  615;     7230756.000;     7316284.000;     7273520.000;     7247153.800;           0.000;           0.342;
  616;     7101662.000;     7659538.000;     7380600.000;     7263231.300;           0.000;           2.570;
  617;     6765798.000;     7008066.000;     6886932.000;     6926060.900;           0.000;           0.768;
  618;     7498124.000;     7844566.000;     7671345.000;     7568690.500;           0.000;           1.124;
  619;     7672944.000;     7782994.000;     7727969.000;     7703141.400;           0.000;           0.335;
  620;     7742502.000;     7927892.000;     7835197.000;     7797338.200;           0.000;           0.681;
  621;     7778262.000;     8136980.000;     7957621.000;     7839930.200;           0.000;           1.082;
  622;     7573980.000;     7998934.000;     7786457.000;     7670934.100;           0.000;           1.765;
  623;     7895016.000;     8044160.000;     7969588.000;     7949152.700;           0.000;           0.548;
  624;     8206114.000;     9255170.000;     8730642.000;     8339642.100;           0.000;           2.809;
  625;     7942258.000;     8096512.000;     8019385.000;     7987952.400;           0.000;           0.537;
  626;     7235226.000;     8150012.000;     7692619.000;     7845426.500;           0.000;           3.395;
  627;     7427084.000;     8102874.000;     7764979.000;     7904255.600;           0.000;           2.603;
  628;     7434914.000;     8043762.000;     7739338.000;     7597239.100;           0.000;           3.082;
  629;     7144146.000;     7287000.000;     7215573.000;     7192822.300;           0.000;           0.634;
  630;     7413298.000;     7785402.000;     7599350.000;     7484731.900;           0.000;           1.373;
  631;     7906970.000;     8017622.000;     7962296.000;     7942305.700;           0.000;           0.371;
  632;     7751630.000;     7969594.000;     7860612.000;     7830106.600;           0.000;           0.881;
  633;     7896564.000;     8216516.000;     8056540.000;     7954885.800;           0.000;           0.882;
  634;     7902796.000;     8183974.000;     8043385.000;     7965099.700;           0.000;           0.878;
  635;     7219162.000;     8360530.000;     7789846.000;     7812496.400;           0.000;           5.564;
  636;     7968736.000;     9074368.000;     8521552.000;     8328646.400;           0.000;           2.783;
  637;     8216518.000;     8696940.000;     8456729.000;     8325335.100;           0.000;           1.425;
  638;     8005230.000;     8478558.000;     8241894.000;     8097515.300;           0.000;           1.789;
  639;     8326676.000;     8686958.000;     8506817.000;     8382851.400;           0.000;           0.959;
  640;    17060306.000;    17425326.000;    17242816.000;    17173313.800;           0.000;           0.578;
  641;     8405508.000;     8509770.000;     8457639.000;     8447698.300;           0.000;           0.368;
  642;     8176952.000;     8445124.000;     8311038.000;     8287590.000;           0.000;           1.189;
  643;     8396746.000;     8677764.000;     8537255.000;     8477174.200;           0.000;           0.895;
  644;     8201010.000;     8530462.000;     8365736.000;     8350290.600;           0.000;           1.143;
  645;     8012954.000;     8568466.000;     8290710.000;     8152195.200;           0.000;           2.237;
  646;     8342562.000;     8632640.000;     8487601.000;     8427401.400;           0.000;           1.034;
  647;     8025014.000;     8491456.000;     8258235.000;     8247108.400;           0.000;           1.913;
  648;     8289364.000;     8518864.000;     8404114.000;     8353613.600;           0.000;           0.826;
  649;     8344966.000;     8478518.000;     8411742.000;     8378196.400;           0.000;           0.479;
  650;     8323334.000;     8609004.000;     8466169.000;     8426583.900;           0.000;           1.174;
  651;     7858948.000;     8852086.000;     8355517.000;     8447112.500;           0.000;           4.163;
  652;     7926108.000;     9225786.000;     8575947.000;     8628168.000;           0.000;           3.321;
  653;     8700478.000;     9050298.000;     8875388.000;     8813551.800;           0.000;           1.048;
  654;     8695574.000;     8845012.000;     8770293.000;     8755095.200;           0.000;           0.508;
  655;     8661808.000;     9006242.000;     8834025.000;     8826905.500;           0.000;           1.230;
  656;     9108182.000;    10145200.000;     9626691.000;     9212829.100;           0.000;           2.448;
  657;     8847202.000;     8968544.000;     8907873.000;     8886384.400;           0.000;           0.352;
  658;     8032226.000;     8716080.000;     8374153.000;     8346747.400;           0.000;           2.388;
  659;     8222274.000;     9013246.000;     8617760.000;     8450707.200;           0.000;           3.338;
  660;     8463782.000;     9019794.000;     8741788.000;     8616061.000;           0.000;           2.281;
  661;     8800406.000;     9252528.000;     9026467.000;     8904229.300;           0.000;           1.253;
  662;     8781086.000;     8891572.000;     8836329.000;     8808457.200;           0.000;           0.364;
  663;     8475732.000;     8851946.000;     8663839.000;     8776820.300;           0.000;           0.857;
  664;     8724776.000;     9080048.000;     8902412.000;     8805063.400;           0.000;           0.950;
  665;     8420664.000;     8938044.000;     8679354.000;     8697275.700;           0.000;           2.024;
  666;     8905004.000;     9132860.000;     9018932.000;     8964329.700;           0.000;           0.730;
  667;     8689144.000;     9901870.000;     9295507.000;     9007370.700;           0.000;           2.655;
  668;     8577056.000;     9391164.000;     8984110.000;     8884204.700;           0.000;           3.538;
  669;     7800880.000;     9596770.000;     8698825.000;     8934670.400;           0.000;           6.512;
  670;     8937098.000;    10261294.000;     9599196.000;     9315536.800;           0.000;           3.149;
  671;     9269344.000;     9669850.000;     9469597.000;     9350342.500;           0.000;           0.955;
  672;    10967158.000;    11275424.000;    11121291.000;    11067171.600;           0.000;           0.855;
  673;     9322856.000;     9582450.000;     9452653.000;     9378489.100;           0.000;           0.679;
  674;     8725994.000;     9648262.000;     9187128.000;     9181487.900;           0.000;           3.420;
  675;     8921166.000;     9459148.000;     9190157.000;     9077721.900;           0.000;           1.999;
  676;     9318158.000;     9590688.000;     9454423.000;     9366946.700;           0.000;           0.647;
  677;     8891926.000;     9471004.000;     9181465.000;     9154744.500;           0.000;           2.187;
  678;     9045370.000;     9651160.000;     9348265.000;     9293530.600;           0.000;           1.451;
  679;     8937566.000;     9290498.000;     9114032.000;     9128759.800;           0.000;           1.384;
  680;     9192030.000;    10998784.000;    10095407.000;     9405348.700;           0.000;           4.176;
  681;     9069584.000;     9447384.000;     9258484.000;     9276294.300;           0.000;           0.890;
  682;     8948126.000;     9070344.000;     9009235.000;     8992209.000;           0.000;           0.447;
  683;     9301854.000;     9524232.000;     9413043.000;     9344753.800;           0.000;           0.647;
  684;     8985966.000;     9498462.000;     9242214.000;     9122963.900;           0.000;           2.042;
  685;     9298032.000;     9644474.000;     9471253.000;     9380792.800;           0.000;           1.277;
  686;     9582492.000;     9941236.000;     9761864.000;     9708274.000;           0.000;           0.980;
  687;     9734130.000;     9896980.000;     9815555.000;     9778703.700;           0.000;           0.482;
  688;    10170336.000;    10372194.000;    10271265.000;    10239479.400;           0.000;           0.612;
  689;     9625074.000;     9908316.000;     9766695.000;     9734914.200;           0.000;           0.998;
  690;     9532376.000;    10010038.000;     9771207.000;     9734896.700;           0.000;           1.641;
  691;     9810062.000;    10239690.000;    10024876.000;     9896557.500;           0.000;           1.118;
  692;     9546904.000;     9880468.000;     9713686.000;     9692507.100;           0.000;           1.094;
  693;     9443262.000;     9977096.000;     9710179.000;     9741983.500;           0.000;           1.172;
  694;     9634872.000;     9835984.000;     9735428.000;     9719778.400;           0.000;           0.643;
  695;     9468208.000;    10011290.000;     9739749.000;     9719825.400;           0.000;           1.359;
  696;     9648588.000;    12395720.000;    11022154.000;    10141554.300;           0.000;           7.651;
  697;     9711502.000;     9951480.000;     9831491.000;     9769432.000;           0.000;           0.629;
  698;     9404252.000;     9718318.000;     9561285.000;     9586299.600;           0.000;           0.866;
