    n;             min;             max;             avg;             mea;             bpc;             dev;
   93;       82304.000;       83070.000;       82687.000;       82529.500;           0.001;           0.202;
   94;       83660.000;       84112.000;       83886.000;       83897.700;           0.001;           0.135;
   95;       85586.000;       85858.000;       85722.000;       85716.400;           0.001;           0.094;
   96;       95474.000;       97112.000;       96293.000;       95799.200;           0.001;           0.371;
   97;       89178.000;       89618.000;       89398.000;       89355.100;           0.001;           0.124;
   98;       90806.000;       91218.000;       91012.000;       91080.300;           0.001;           0.093;
   99;       92736.000;      112238.000;      102487.000;       93911.900;           0.001;           4.595;
  100;       94680.000;       95004.000;       94842.000;       94892.400;           0.001;           0.082;
  101;       96492.000;      110076.000;      103284.000;       97366.500;           0.001;           3.075;
  102;       98744.000;      106900.000;      102822.000;       99310.700;           0.001;           1.802;
  103;      100088.000;      100562.000;      100325.000;      100341.100;           0.001;           0.109;
  104;      111394.000;      113064.000;      112229.000;      111734.200;           0.001;           0.311;
  105;      104306.000;      110998.000;      107652.000;      104821.900;           0.001;           1.390;
  106;      106270.000;      106704.000;      106487.000;      106460.500;           0.001;           0.112;
  107;      108150.000;      108640.000;      108395.000;      108347.200;           0.001;           0.125;
  108;      110798.000;      201278.000;      156038.000;      133261.500;           0.001;          22.202;
  109;      112278.000;      112906.000;      112592.000;      112497.700;           0.001;           0.128;
  110;      115084.000;      115606.000;      115345.000;      115297.200;           0.001;           0.117;
  111;      117028.000;      117570.000;      117299.000;      117268.500;           0.001;           0.119;
  112;      130346.000;      183660.000;      157003.000;      134184.300;           0.001;           9.195;
  113;      119930.000;      120828.000;      120379.000;      120416.600;           0.001;           0.186;
  114;      123382.000;      156350.000;      139866.000;      126489.300;           0.001;           6.658;
  115;      125220.000;      125650.000;      125435.000;      125397.400;           0.001;           0.084;
  116;      129174.000;      137360.000;      133267.000;      129859.600;           0.001;           1.407;
  117;      129616.000;      129936.000;      129776.000;      129803.100;           0.001;           0.067;
  118;      131956.000;      139344.000;      135650.000;      132580.300;           0.001;           1.204;
  119;      133876.000;      134346.000;      134111.000;      134164.900;           0.001;           0.088;
  120;      149242.000;      157796.000;      153519.000;      150046.000;           0.001;           1.268;
  121;      138256.000;      138856.000;      138556.000;      138589.700;           0.001;           0.099;
  122;      140916.000;      149544.000;      145230.000;      141679.700;           0.001;           1.314;
  123;      142972.000;      143358.000;      143165.000;      143126.000;           0.001;           0.080;
  124;      147000.000;      162414.000;      154707.000;      148120.600;           0.001;           2.286;
  125;      147522.000;      148018.000;      147770.000;      147778.800;           0.001;           0.094;
  126;      149996.000;      151100.000;      150548.000;      150212.800;           0.001;           0.176;
  127;      152126.000;      152566.000;      152346.000;      152347.500;           0.001;           0.079;
  128;      314032.000;      316714.000;      315373.000;      314669.900;           0.000;           0.190;
  129;      156828.000;      163854.000;      160341.000;      157436.000;           0.001;           0.964;
  130;      159472.000;      159954.000;      159713.000;      159668.300;           0.001;           0.086;
  131;      161804.000;      217414.000;      189609.000;      165216.300;           0.001;           7.504;
  132;      166322.000;      176006.000;      171164.000;      167129.500;           0.001;           1.294;
  133;      166816.000;      167268.000;      167042.000;      167060.700;           0.001;           0.075;
  134;      169138.000;      169960.000;      169549.000;      169476.500;           0.001;           0.129;
  135;      171714.000;      207530.000;      189622.000;      173772.600;           0.001;           4.574;
